conv_layer_1;conv_layer_2;dense_layer_1;dense_layer_2;drop_out_1;drop_out_2;id_simu
16;32;32;32;0.3;0.4;214
16;32;32;32;0.3;0.5;215
16;32;32;32;0.4;0.2;216
16;32;32;32;0.4;0.3;217
16;32;32;32;0.4;0.4;218
16;32;32;32;0.4;0.5;219
16;32;32;32;0.5;0.2;220
16;32;32;32;0.5;0.3;221
16;32;32;32;0.5;0.4;222
16;32;32;32;0.5;0.5;223
16;32;32;64;0.2;0.2;224
16;32;32;64;0.2;0.3;225
16;32;32;64;0.2;0.4;226
16;32;32;64;0.2;0.5;227
16;32;32;64;0.3;0.2;228
16;32;32;64;0.3;0.3;229
16;32;32;64;0.3;0.4;230
16;32;32;64;0.3;0.5;231
16;32;32;64;0.4;0.2;232
16;32;32;64;0.4;0.3;233
16;32;32;64;0.4;0.4;234
16;32;32;64;0.4;0.5;235
16;32;32;64;0.5;0.2;236
16;32;32;64;0.5;0.3;237
16;32;32;64;0.5;0.4;238
16;32;32;64;0.5;0.5;239
16;32;64;16;0.2;0.2;240
16;32;64;16;0.2;0.3;241
16;32;64;16;0.2;0.4;242
16;32;64;16;0.2;0.5;243
16;32;64;16;0.3;0.2;244
16;32;64;16;0.3;0.3;245
16;32;64;16;0.3;0.4;246
16;32;64;16;0.3;0.5;247
16;32;64;16;0.4;0.2;248
16;32;64;16;0.4;0.3;249
16;32;64;16;0.4;0.4;250
16;32;64;16;0.4;0.5;251
16;32;64;16;0.5;0.2;252
16;32;64;16;0.5;0.3;253
16;32;64;16;0.5;0.4;254
16;32;64;16;0.5;0.5;255
16;32;64;32;0.2;0.2;256
16;32;64;32;0.2;0.3;257
16;32;64;32;0.2;0.4;258
16;32;64;32;0.2;0.5;259
16;32;64;32;0.3;0.2;260
16;32;64;32;0.3;0.3;261
16;32;64;32;0.3;0.4;262
16;32;64;32;0.3;0.5;263
16;32;64;32;0.4;0.2;264
16;32;64;32;0.4;0.3;265
16;32;64;32;0.4;0.4;266
16;32;64;32;0.4;0.5;267
16;32;64;32;0.5;0.2;268
16;32;64;32;0.5;0.3;269
16;32;64;32;0.5;0.4;270
16;32;64;32;0.5;0.5;271
16;32;64;64;0.2;0.2;272
16;32;64;64;0.2;0.3;273
16;32;64;64;0.2;0.4;274
16;32;64;64;0.2;0.5;275
16;32;64;64;0.3;0.2;276
16;32;64;64;0.3;0.3;277
16;32;64;64;0.3;0.4;278
16;32;64;64;0.3;0.5;279
16;32;64;64;0.4;0.2;280
16;32;64;64;0.4;0.3;281
16;32;64;64;0.4;0.4;282
16;32;64;64;0.4;0.5;283
16;32;64;64;0.5;0.2;284
16;32;64;64;0.5;0.3;285
16;32;64;64;0.5;0.4;286
16;32;64;64;0.5;0.5;287
16;64;16;16;0.2;0.2;288
16;64;16;16;0.2;0.3;289
16;64;16;16;0.2;0.4;290
16;64;16;16;0.2;0.5;291
16;64;16;16;0.3;0.2;292
16;64;16;16;0.3;0.3;293
16;64;16;16;0.3;0.4;294
16;64;16;16;0.3;0.5;295
16;64;16;16;0.4;0.2;296
16;64;16;16;0.4;0.3;297
16;64;16;16;0.4;0.4;298
16;64;16;16;0.4;0.5;299
16;64;16;16;0.5;0.2;300
16;64;16;16;0.5;0.3;301
16;64;16;16;0.5;0.4;302
16;64;16;16;0.5;0.5;303
16;64;16;32;0.2;0.2;304
16;64;16;32;0.2;0.3;305
16;64;16;32;0.2;0.4;306
16;64;16;32;0.2;0.5;307
16;64;16;32;0.3;0.2;308
16;64;16;32;0.3;0.3;309
16;64;16;32;0.3;0.4;310
16;64;16;32;0.3;0.5;311
16;64;16;32;0.4;0.2;312
16;64;16;32;0.4;0.3;313
16;64;16;32;0.4;0.4;314
16;64;16;32;0.4;0.5;315
16;64;16;32;0.5;0.2;316
16;64;16;32;0.5;0.3;317
16;64;16;32;0.5;0.4;318
16;64;16;32;0.5;0.5;319
16;64;16;64;0.2;0.2;320
16;64;16;64;0.2;0.3;321
16;64;16;64;0.2;0.4;322
16;64;16;64;0.2;0.5;323
